OBJECTID_1,NAME,Build_Weig,Id_Folder,Name_Folde,Date,Year_Month,X,Y
146,"1-й Басманный пер., д. 3, стр. 1",1,1,"1-й Басманный пер., д. 3, стр. 1",2018-03-02,201803,37.662896,55.770717
147,"5-ая Парковая улица, 62б",1,2,5 Парковая 62б,2018-02-09,201802,37.790108,55.807885
149,,2,3,64 км Варшавского шоссе,2016-11-07,201611,37.188716,55.288915
91,Собор Василия Блаженного,2,4,Sobor,2016-02-17,201602,37.623158,55.752452
148,Алабяно-Балтийский тоннель,1,7,Алабяно-Балтийский тоннель,2018-02-12,201802,37.509498,55.805707
150,Аллея космонавтов,0,8,Аллея космонавтов обелиски,2018-08-06,201808,37.639424,55.820926
151,"Алтуфьевское шоссе, 9А",0,9,"Алтуфьевское шоссе, 9А",2018-02-15,201802,37.584247,55.853087
1,Астаховский мост,2,10,Астаховский мост,2015-09-16,201509,37.645193,55.748824
152,,8,11,Аэропорт Внуково,2017-09-06,201709,37.265692,55.596919
153,,8,12,Аэропорт Домодедово,2017-07-20,201707,37.902215,55.407757
154,,8,13,Аэропорт Жуковский,2017-06-28,201706,38.141251,55.563782
155,,8,14,Аэропорт Шереметьево,2017-10-19,201710,37.414051,55.972657
2,Белорусский вокзал,2,15,Белорусский вокзал,2015-09-04,201509,37.581535,55.776489
84,Большой и Малый Каменный мост,4,16,Большой и малый каменный мост-,2015-09-16,201509,37.613196,55.745559
86,Большой Краснохолмский мост,4,17,Большой и малый краснохолмский мост-,2015-09-16,201509,37.647391,55.73699
85,Большой и Малый Москворецкий мост,4,18,Большой и малый москворецкий мост,2015-09-16,201509,37.624475,55.749086
110,Большой театр,2,19,Большой и Малый театр,2015-07-27,201507,37.618534,55.760204
87,Большой Устьинский мост,3,20,Большой и малый Устьинский и Коммисариатский мост-,2015-08-20,201508,37.638675,55.747127
453,Боровское шоссе - МКАД,0,21,Боровское шоссе — зелень,2018-02-08,201802,37.432154,55.66179
88,Бородинский мост,3,22,Бородинский мост-,2015-10-12,201510,37.574482,55.745449
156,,4,23,БСА Лужники,2016-07-15,201607,37.553773,55.715751
157,,1,24,Ванный комплекс — Нескучный сад,2018-02-13,201802,37.58996,55.718122
72,ВДНХ - Ворота,2,25,ВДНХ - Ворота,2016-08-12,201608,37.637651,55.826252
73,ВДНХ - Главный павильон,2,26,ВДНХ - Главный павильон,2016-07-30,201607,37.633687,55.828693
158,ВДНХ - Монумент «Покорителям космоса»,3,27,ВДНХ - Монумент «Покорителям космоса»,2018-04-05,201804,37.639743,55.82268
159,ВДНХ - павильон Космос,3,28,ВДНХ - павильон Космос,2018-07-31,201807,37.620676,55.835756
160,"Волгоградский проспект, 32",2,29,Волгоградский проспект 32,2017-02-09,201702,37.694212,55.719828
161,ВТБ Арена — стадион Динамо,5,30,ВТБ Арена — стадион Динамо,2018-02-20,201802,37.563593,55.790613
457,"Автозаводская улица, 23с120",3,31,ВТБ Ледовый парк легенд,2018-01-29,201801,37.642606,55.701344
162,,0,32,Вторая очередь ТК «Город»,2017-02-09,201702,37.734656,55.729207
164,,1,33,вход в метро парк Культуры,2018-04-19,201804,37.593044,55.735184
163,,1,34,Вход в метро парк Культуры + магазин Букинист,2018-04-19,201804,37.595208,55.736068
165,,3,35,Высокопетровский монастырь,2018-02-28,201802,37.615175,55.766676
458,,0,36,Гаражи Ховрино,2017-07-25,201707,37.510684,55.86608
166,Главный вход в парк Царицыно,1,37,Главный вход в парк Царицыно,2018-06-29,201806,37.673242,55.619168
167,,2,38,Головинское шоссе,2018-01-29,201801,37.510316,55.8314
168,,1,39,Головково_Эстакада,2016-06-28,201606,36.903388,56.216619
145,Государственная дума,2,40,Гос_Дума,2017-06-14,201706,37.615784,55.757901
124,Госпитальный мост,2,41,Госпитальный мост-,2015-09-04,201509,37.692146,55.769491
169,Гостиница Москва,2,42,Гостиница Москва,2018-03-02,201803,37.617254,55.757187
170,Гостиница Пекин,3,43,Гостиница Пекин,2017-08-16,201708,37.59338,55.768649
49,Гостиница Украина,3,44,Гостиница Украина,2015-07-28,201507,37.56511,55.75128
459,Гостиный двор,2,45,Гостиный двор,2018-02-28,201802,37.625935,55.75356
171,Дворец на Миуссах,1,46,Дворец на Миуссах,2018-03-07,201803,37.592578,55.777008
125,Дворец Разумовских Тверская,1,47,Дворец Разумовских Тверская 21,2017-07-05,201707,37.60147,55.76608
172,Детский мир,2,48,Детский мир,2018-02-21,201802,37.624839,55.760149
60,Дом Пашкова,2,49,Дом Пашкова,2015-07-27,201507,37.608119,55.749849
173,,1,50,Дом Северного Страхового общества Ильинка,2018-06-22,201806,37.629125,55.75665
74,Дом Сытина,1,51,Дом Сытина,2016-06-06,201606,37.603188,55.766241
127,Дом Хитрово,1,52,Дом Хитрово Арбат 53,2016-06-08,201606,37.585846,55.747483
174,,2,53,Дом_музыки,2018-06-24,201806,37.646636,55.733174
175,,1,54,Доходный дом ул Ильинка 73с1,2018-04-04,201804,37.625687,55.755288
176,,4,55,Живописный и Хорошёвский мосты,2015-10-13,201510,37.442615,55.775788
177,,10,56,Зарядье,2017-09-21,201709,37.629216,55.751365
89,Зверев мост,2,57,Зверев мост-,2015-09-21,201509,37.639763,55.736768
245,"Изумрудная, 40",1,58,"Изумрудная, 40",2017-03-30,201703,37.690967,55.876279
250,Микрорайон Изумрудные холмы,1,59,Изумрудные холмы,2018-02-14,201802,37.271536,55.834532
463,,0,60,Исправление бага на Гоголевском бульваре,2016-11-21,201611,37.59903,55.755289
462,"Кадашёвский тупик, 3с5",0,61,Кадашевский тупик,2018-02-15,201802,37.622895,55.742783
464,,2,63,Калужское ш. реконструкция,2017-06-16,201706,37.448844,55.566044
3,Киевский вокзал,2,64,Киевский вокзал,2015-07-28,201507,37.56594,55.742868
128,Кинотеатр Октябрь,2,65,Кинотеатр Октябрь Арбат,2017-08-15,201708,37.587599,55.753083
252,"Пушкинская площадь, 2/1",2,66,Кинотеатр Пушкинский,2017-08-15,201708,37.607589,55.766284
254,Церковь Вознесения Господня,2,67,Коломенское,2017-08-30,201708,37.670656,55.667278
465,"Кольская улица, 2к4",0,68,Кольская улица_ дом 2_корпус 4,2017-02-10,201702,37.655371,55.85842
129,Комиссариатский мост,2,69,Комиссариатский мост-,2015-08-21,201508,37.635025,55.744738
4,Консерватория Большой зал,2,70,Консерватория Большой зал,2015-07-27,201507,37.604329,55.756226
240,"улица Правды, 24",2,71,Концерн газеты Правда,2018-04-22,201804,37.582698,55.787405
5,Концертный зал Чайковского,1,72,Концертный зал Чайковского,2015-07-28,201507,37.596294,55.76885
6,Костомаровский мост,3,73,Костомаровский мост,2015-10-12,201510,37.667474,55.748594
